Conversation_ID,Order,MsgType,Image_ID,WaitTap,Delay,
DAY1_CHAT_M,1,TEXT,,0,0.8,
DAY1_CHAT_M,2,TEXT,,0,0.8,
DAY1_CHAT_M,3,TEXT,,0,0.8,
DAY1_CHAT_M,4,TEXT,,0,1,
DAY1_CHAT_M,5,TEXT,,0,1.8,
DAY1_CHAT_M,6,TEXT,,0,1,
DAY1_CHAT_M,7,TEXT,,0,0.8,
DAY1_CHAT_M,8,TEXT,,0,1,
DAY1_CHAT_M,9,TEXT,,0,1.4,
DAY1_CHAT_M,10,TEXT,,1,1,
DAY1_CHAT_M,11,TEXT,,0,1.2,
DAY1_CHAT_M,12,TEXT,,0,1,
DAY1_CHAT_M,13,TEXT,,0,1.4,
DAY1_CHAT_M,14,TEXT,,0,1,
DAY1_CHAT_M,15,TEXT,,0,0.8,
DAY1_CHAT_M,16,TEXT,,0,0.8,
DAY1_CHAT_M,17,TEXT,,0,1,
DAY1_CHAT_M,18,TEXT,,0,0.8,
DAY1_CHAT_M,19,TEXT,,0,1.4,
DAY1_CHAT_M,20,TEXT,,0,1,
DAY1_CHAT_M,21,TEXT,,1,0.8,
DAY1_CHAT_M,22,TEXT,,1,1,
,,,,,,
DAY1_CHAT_N,1,TEXT,,1,0.6,인생에 재밌는 일이 생겼으면 좋겠다.
DAY1_CHAT_N,2,TEXT,,1,0.6,3일 좀비사태 같은 거 말이야.
DAY1_CHAT_N,3,TEXT,,0,0.8,재밋겟당
DAY1_CHAT_N,4,TEXT,,0,1,난 좀비 돼서 다 물 건디?
DAY1_CHAT_N,5,TEXT,,1,0.8,뭔소리야
DAY1_CHAT_N,6,TEXT,,1,0.8,넌 비상 식량이야
DAY1_CHAT_N,7,TEXT,,1,0.8,이 단백질아
DAY1_CHAT_N,8,TEXT,,0,0.8,응 깡통ㅋ
DAY1_CHAT_N,9,TEXT,,0,1.4,왜 3일 인건데ㅋㅋㅋ
DAY1_CHAT_N,10,TEXT,,1,0.8,난 3일 이상 생존할 자신이 없거든
DAY1_CHAT_N,11,TEXT,,0,1,True...
DAY1_CHAT_N,12,TEXT,,0,1.2,Based...
DAY1_CHAT_N,13,TEXT,,0,1,내일 비온다는데?
DAY1_CHAT_N,14,TEXT,,0,1.2,*발
DAY1_CHAT_N,15,TEXT,,0,1,존나 많이 온다는데?
DAY1_CHAT_N,16,TEXT,,0,1.2,*발
DAY1_CHAT_N,17,TEXT,,1,0.8,No...
,,,,,,
DAY1_CHAT_L,1,TEXT,,0,0.8,나는 소드를 사랑한다고
DAY1_CHAT_L,2,TEXT,,0,0.8,사랑한다
DAY1_CHAT_L,3,TEXT,,0,0.8,너의 얼굴
DAY1_CHAT_L,4,TEXT,,0,0.8,쪽
DAY1_CHAT_L,5,TEXT,,0,0.8,너를 처음본순간분터
DAY1_CHAT_L,6,TEXT,,0,0.8,너는 내꺼옇어
DAY1_CHAT_L,7,TEXT,,0,0.8,사랑한다
DAY1_CHAT_L,8,TEXT,,0,0.8,결혼식은 어디서
DAY1_CHAT_L,9,TEXT,,0,1,...?
DAY1_CHAT_L,10,TEXT,,0,1,결혼하면 사회 봐줌
DAY1_CHAT_L,11,TEXT,,0,0.8,얘들아 사랑한다
DAY1_CHAT_L,12,TEXT,,0,0.8,얘들아
DAY1_CHAT_L,13,TEXT,,0,0.8,내가
DAY1_CHAT_L,14,TEXT,,0,0.8,많이 사랑한다
DAY1_CHAT_L,15,TEXT,,0,0.8,너도 사랑해
DAY1_CHAT_L,16,TEXT,,0,0.8,다 사랑해
DAY1_CHAT_L,17,TEXT,,0,0.8,으애ㅓㅓㅓㅓㅕ
DAY1_CHAT_L,18,TEXT,,0,1,난 맞짱이 까고 싶다
DAY1_CHAT_L,19,TEXT,,0,0.8,아무나 옥상으로 와라
DAY1_CHAT_L,20,TEXT,,0,0.8,왜저래;;
