Conversation_ID,Order,Speaker_ID,Line_ID,Text,AnimationTrigger,TargetCharacter_ID,AnimationClip,SneakersAnimationClip,SoundEffect,BeforeTextDelaySeconds
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Systems,,,,,,,,,,
SLIPPERS_CHANGED,1,NAME_PLAYER,SLIPPERS_CHANGED,,,,,,,
DAY1_CLASSOPEN_NS,1,NAME_HOMEROOM,DAY1_CLASSOPEN_NS_01,,,,,,,
DAY1_CLASSOPEN_NS,2,NAME_PLAYER,DAY1_CLASSOPEN_NS_02,,,,,,,
DAY1_CLASSOPEN_NS,3,NAME_HOMEROOM,DAY1_CLASSOPEN_NS_03,,,,,,,
DAY1_CLASSOPEN_NS,4,NAME_PLAYER,DAY1_CLASSOPEN_NS_04,,,,,,,
DAY2_CLASSOPEN_NS,1,NAME_HOMEROOM,DAY2_CLASSOPEN_NS_01,,,,,,,
DAY2_CLASSOPEN_NS,2,NAME_PLAYER,DAY2_CLASSOPEN_NS_02,,,,,,,
DAY2_CLASSOPEN_NS,3,NAME_HOMEROOM,DAY2_CLASSOPEN_NS_03,,,,,,,
DAY2_CLASSOPEN_NS,4,NAME_PLAYER,DAY2_CLASSOPEN_NS_04,,,,,,,
DAY3_CLASSOPEN_NS,1,,DAY3_CLASSOPEN_NS_01,,,,,,,
DAY3_CLASSOPEN_NS,2,,DAY3_CLASSOPEN_NS_02,,,,,,,
DAY3_CLASSOPEN_NS,3,,DAY3_CLASSOPEN_NS_03,,,,,,,
DAY3_CLASSOPEN_NS,4,,DAY3_CLASSOPEN_NS_04,,,,,,,
DAY4_CLASSOPEN_NS,1,,DAY4_CLASSOPEN_NS_01,,,,,,,
DAY4_CLASSOPEN_NS,2,,DAY4_CLASSOPEN_NS_02,,,,,,,
DAY4_CLASSOPEN_NS,3,,DAY4_CLASSOPEN_NS_03,,,,,,,
DAY4_CLASSOPEN_NS,4,,DAY4_CLASSOPEN_NS_04,,,,,,,
DAY5_CLASSOPEN_NS,1,,DAY5_CLASSOPEN_NS_01,,,,,,,
DAY5_CLASSOPEN_NS,2,,DAY5_CLASSOPEN_NS_02,,,,,,,
DAY5_CLASSOPEN_NS,3,,DAY5_CLASSOPEN_NS_03,,,,,,,
DAY5_CLASSOPEN_NS,4,,DAY5_CLASSOPEN_NS_04,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Day_1,,,,,,,,,,
D1_MOR,,,,,,,,,,
,,,,,,,,,,
DAY1_CHAT_M,1,NAME_GONYONG,DAY1_CHAT_M_01,,,,,,,
DAY1_CHAT_M,2,NAME_GONYONG,DAY1_CHAT_M_02,,,,,,,
DAY1_CHAT_M,3,NAME_GONYONG,DAY1_CHAT_M_03,,,,,,,
DAY1_CHAT_M,4,NAME_GONYONG,DAY1_CHAT_M_04,,,,,,,
DAY1_CHAT_M,5,NAME_MINUM,DAY1_CHAT_M_05,,,,,,,
DAY1_CHAT_M,6,NAME_MINUM,DAY1_CHAT_M_06,,,,,,,
DAY1_CHAT_M,7,NAME_MINUM,DAY1_CHAT_M_07,,,,,,,
DAY1_CHAT_M,8,NAME_MINUM,DAY1_CHAT_M_08,,,,,,,
